2024-10-30 at 10:28:42 | INFO | Открытие модального окна контактов
2024-10-30 at 10:28:42 | INFO | Ожидание появления модального окна контактов
2024-10-30 at 10:28:43 | INFO | Переход на страницу контактов
2024-10-30 at 10:28:44 | INFO | Успешный переход на страницу контактов
2024-10-30 at 10:28:44 | INFO | Успешный клик на баннер Тензор.
2024-10-30 at 10:28:46 | INFO | Блок 'Сила в людях' присутствует на главной странице Тензор
2024-10-30 at 10:28:48 | INFO | Клик по ссылке 'Подробнее' в блоке Сила в людях
2024-10-30 at 10:28:48 | INFO | Переход на страницу Тензор 'Подробнее' выполнен корректно
2024-10-30 at 10:28:49 | INFO | Проверка всех фотографий в блоке 'Работа в Тензоре' на соответствие размеру
2024-10-30 at 10:28:49 | INFO | Все фотографии в блоке 'Работа в Тензоре' соответствуют размеру
2024-10-30 at 10:28:59 | INFO | Открытие модального окна контактов
2024-10-30 at 10:28:59 | INFO | Ожидание появления модального окна контактов
2024-10-30 at 10:29:00 | INFO | Переход на страницу контактов
2024-10-30 at 10:29:01 | INFO | Успешный переход на страницу контактов
2024-10-30 at 10:29:01 | INFO | Проверка на соответствие региону, который определился автоматически
2024-10-30 at 10:29:01 | INFO | Регион определился корректно: Республика Башкортостан
2024-10-30 at 10:29:01 | INFO | Список партнеров присутствует на странице Контакты
2024-10-30 at 10:29:01 | INFO | Город Уфа присутствует в списке партнеров
2024-10-30 at 10:29:02 | INFO | Регион успешно изменен на '41 Камчатский край'
2024-10-30 at 10:29:02 | INFO | URL успешно изменён и содержит текст '41-kamchatskij-kraj'
2024-10-30 at 10:29:02 | INFO | Список партнеров успешно изменён. Теперь в списке партнеров город Петропавловск-Камчатский
2024-10-30 at 10:29:16 | INFO | Открытие модального окна контактов
2024-10-30 at 10:29:16 | INFO | Ожидание появления модального окна контактов
2024-10-30 at 10:29:17 | INFO | Переход на страницу контактов
2024-10-30 at 10:29:19 | INFO | Успешный переход на страницу контактов
2024-10-30 at 10:29:19 | INFO | Проверка на соответствие региону, который определился автоматически
2024-10-30 at 10:29:19 | INFO | Регион определился корректно: Республика Башкортостан
2024-10-30 at 10:29:19 | INFO | Список партнеров присутствует на странице Контакты
2024-10-30 at 10:29:19 | INFO | Город Уфа присутствует в списке партнеров
2024-10-30 at 10:29:19 | INFO | Регион успешно изменен на '41 Камчатский край'
2024-10-30 at 10:30:23 | INFO | Открытие модального окна контактов
2024-10-30 at 10:30:23 | INFO | Ожидание появления модального окна контактов
2024-10-30 at 10:30:24 | INFO | Переход на страницу контактов
2024-10-30 at 10:30:25 | INFO | Успешный переход на страницу контактов
2024-10-30 at 10:30:25 | INFO | Успешный клик на баннер Тензор.
2024-10-30 at 10:30:27 | INFO | Блок 'Сила в людях' присутствует на главной странице Тензор
